HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8256,5,5
1,12512,8,8
2,13824,22,22
3,11872,31,31
4,736,45,45
5,1120,55,55
6,672,64,64
7,672,73,73
8,672,81,81
9,9888,89,89
10,182240,111,111
11,129440,128,128
12,7904,151,151
13,7104,169,169
14,672,185,185
15,672,201,201
16,13312,212,212
17,7264,219,219
18,5280,230,230
19,5024,248,248
20,704,256,256
21,704,266,266
22,1472,284,284
23,4512,292,292
24,37536,313,313
25,5760,317,317
26,26816,325,325
27,2016,345,345
28,14394560,349,349
