HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8416,5,5
1,171456,8,8
2,2496,22,22
3,3680,36,36
4,2816,48,48
5,220704,58,58
6,9728,72,72
7,11584,82,82
8,2272,91,91
9,1952,100,100
10,704,108,108
11,13312,116,116
12,20800,138,138
13,5536,160,160
14,5792,180,180
15,329408,197,197
16,3776,220,220
17,10176,237,237
18,704,252,252
19,1312,267,267
20,1952,278,278
21,3872,281,281
22,6752,287,287
23,6272,304,304
24,42400,333,333
25,5344,341,341
26,4064,357,357
27,14656,386,386
28,5472,394,394
29,4320,410,410
30,11904,439,439
31,4256,447,447
32,1504,464,464
33,7136,493,493
34,7232,501,501
35,53440,523,523
36,6944,527,527
37,18208,535,535
38,2112,546,546
39,13185536,550,550
