HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8160,5,5
1,12640,8,8
2,704,22,22
3,672,36,36
4,672,48,48
5,9728,58,58
6,672,72,72
7,1216,82,82
8,704,91,91
9,672,100,100
10,672,108,108
11,11552,116,116
12,6368,138,138
13,672,160,160
14,800,180,180
15,102112,197,197
16,11776,220,220
17,6048,237,237
18,960,252,252
19,704,267,267
20,20416,278,278
21,4096,281,281
22,7200,287,287
23,7776,304,304
24,28608,333,333
25,5216,341,341
26,8320,357,357
27,19488,386,386
28,4640,394,394
29,8512,410,410
30,18240,439,439
31,5824,447,447
32,51872,469,469
33,5728,473,473
34,20736,481,481
35,1728,492,492
36,14383712,496,496
