HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,11648,5,5
1,233440,8,8
2,704,22,22
3,768,34,34
4,1280,45,45
5,704,56,56
6,158080,66,66
7,17280,74,74
8,35200,90,90
9,22912,115,115
10,1472,135,135
11,704,153,153
12,4032,171,171
13,83744,188,188
14,5536,191,191
15,6656,197,197
16,6304,214,214
17,17792,243,243
18,5280,251,251
19,704,268,268
20,6496,295,295
21,4768,303,303
22,832,319,319
23,6208,346,346
24,3904,354,354
25,672,371,371
26,7328,400,400
27,4160,408,408
28,2368,424,424
29,16352,453,453
30,7392,461,461
31,50752,485,485
32,5760,489,489
33,30720,497,497
34,2496,517,517
35,13847520,521,521
