HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8256,5,5
1,173152,8,8
2,3808,22,22
3,3584,36,36
4,2528,48,48
5,218912,58,58
6,9888,72,72
7,11648,82,82
8,1920,91,91
9,2016,100,100
10,672,108,108
11,12960,116,116
12,19552,138,138
13,7072,160,160
14,9088,180,180
15,244960,197,197
16,10368,220,220
17,7424,237,237
18,1024,252,252
19,2272,267,267
20,10176,278,278
21,4320,281,281
22,7168,287,287
23,6336,304,304
24,33440,333,333
25,4832,341,341
26,4736,357,357
27,20832,386,386
28,5568,394,394
29,4576,410,410
30,14560,439,439
31,4128,447,447
32,1600,464,464
33,7232,493,493
34,6304,501,501
35,52800,523,523
36,5920,527,527
37,28224,535,535
38,2080,555,555
39,12990656,559,559
