HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8416,5,5
1,11040,8,8
2,704,22,22
3,704,36,36
4,992,48,48
5,9696,58,58
6,1056,72,72
7,1216,82,82
8,896,91,91
9,704,100,100
10,672,108,108
11,11360,116,116
12,14176,138,138
13,2816,160,160
14,3488,180,180
15,91040,197,197
16,7392,220,220
17,5536,237,237
18,704,252,252
19,672,267,267
20,22272,278,278
21,3904,281,281
22,6880,287,287
23,6944,304,304
24,27616,333,333
25,4768,341,341
26,7904,357,357
27,14368,386,386
28,5504,394,394
29,7072,410,410
30,12576,439,439
31,5824,447,447
32,52864,469,469
33,5984,473,473
34,30624,481,481
35,1728,501,501
36,14618688,505,505
