HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,6848,5,5
1,163968,8,8
2,672,22,22
3,960,36,36
4,832,48,48
5,55232,60,60
6,12256,68,68
7,37312,84,84
8,11040,110,110
9,12416,133,133
10,3296,153,153
11,98272,175,175
12,4832,178,178
13,6592,184,184
14,4704,201,201
15,12224,230,230
16,4480,238,238
17,768,255,255
18,6656,283,283
19,4256,291,291
20,704,307,307
21,6080,335,335
22,3936,343,343
23,4672,360,360
24,9696,389,389
25,4064,397,397
26,2080,413,413
27,6592,442,442
28,5888,450,450
29,55872,474,474
30,6048,478,478
31,21536,486,486
32,704,497,497
33,672,509,509
34,13973792,513,513
