HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8320,5,5
1,169952,8,8
2,3808,22,22
3,3488,36,36
4,2528,48,48
5,218688,58,58
6,9312,72,72
7,12096,82,82
8,1792,91,91
9,2400,100,100
10,704,108,108
11,13280,116,116
12,6592,138,138
13,16896,160,160
14,9888,180,180
15,282432,197,197
16,1376,220,220
17,13472,237,237
18,2784,252,252
19,2464,267,267
20,5504,278,278
21,3904,281,281
22,7808,287,287
23,6656,304,304
24,41888,333,333
25,5664,341,341
26,6048,357,357
27,26880,386,386
28,4480,394,394
29,5088,410,410
30,15232,439,439
31,4832,447,447
32,1600,464,464
33,7584,493,493
34,7328,501,501
35,53440,523,523
36,5888,527,527
37,28160,535,535
38,1984,555,555
39,13511584,559,559
