HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8128,5,5
1,152704,8,8
2,704,22,22
3,960,36,36
4,1120,48,48
5,51648,60,60
6,12416,68,68
7,34112,84,84
8,10048,110,110
9,13760,133,133
10,672,153,153
11,97312,175,175
12,4800,178,178
13,7552,184,184
14,3808,201,201
15,11680,230,230
16,4192,238,238
17,672,255,255
18,6560,283,283
19,4448,291,291
20,672,307,307
21,5728,335,335
22,3904,343,343
23,4448,360,360
24,9472,389,389
25,3936,397,397
26,1984,413,413
27,6656,442,442
28,6496,450,450
29,52800,474,474
30,5728,478,478
31,21312,486,486
32,672,501,501
33,672,522,522
34,13747808,526,526

Range Index,Elapsed Time, First Event,Last Event
0,8256,5,5
1,163296,8,8
2,672,22,22
3,800,35,35
4,1376,49,49
5,672,61,61
6,704,72,72
7,51040,84,84
8,12160,92,92
9,34944,108,108
10,9920,134,134
11,768,156,156
12,11264,179,179
13,5952,199,199
14,736,217,217
15,95392,239,239
16,4832,242,242
17,7296,248,248
18,4064,265,265
19,11584,294,294
20,5088,302,302
21,704,319,319
22,6688,347,347
23,4320,355,355
24,768,371,371
25,5984,399,399
26,3872,407,407
27,4160,424,424
28,9344,453,453
29,4128,461,461
30,1920,477,477
31,6720,506,506
32,6560,514,514
33,52384,538,538
34,5728,542,542
35,20096,550,550
36,704,561,561
37,672,573,573
38,14810016,577,577
