HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,6720,5,5
1,164512,8,8
2,672,22,22
3,704,36,36
4,672,48,48
5,215296,58,58
6,704,72,72
7,736,82,82
8,672,91,91
9,704,100,100
10,672,108,108
11,13760,116,116
12,20128,138,138
13,6816,160,160
14,6432,180,180
15,124512,197,197
16,7808,220,220
17,4256,237,237
18,672,252,252
19,832,267,267
20,18976,278,278
21,4736,281,281
22,7072,287,287
23,5440,304,304
24,24960,333,333
25,5728,341,341
26,4480,357,357
27,20192,386,386
28,4256,394,394
29,5056,410,410
30,21376,439,439
31,4864,447,447
32,1408,464,464
33,6592,491,491
34,6208,499,499
35,52032,521,521
36,5728,525,525
37,19328,533,533
38,2496,544,544
39,10715840,548,548

Range Index,Elapsed Time, First Event,Last Event
0,8288,5,5
1,159872,8,8
2,704,22,22
3,672,36,36
4,672,48,48
5,214336,58,58
6,800,72,72
7,832,82,82
8,672,91,91
9,672,100,100
10,672,108,108
11,14752,116,116
12,18976,138,138
13,4256,160,160
14,672,180,180
15,161856,197,197
16,672,220,220
17,5184,237,237
18,672,252,252
19,672,267,267
20,672,278,278
21,4384,281,281
22,7488,287,287
23,4864,304,304
24,19968,333,333
25,6176,341,341
26,4768,357,357
27,19008,386,386
28,4832,394,394
29,4544,410,410
30,19200,439,439
31,4448,447,447
32,960,464,464
33,6464,491,491
34,6144,499,499
35,53824,521,521
36,6112,525,525
37,18528,533,533
38,2080,544,544
39,13012416,548,548

Range Index,Elapsed Time, First Event,Last Event
0,6880,5,5
1,179296,8,8
2,672,22,22
3,736,36,36
4,736,48,48
5,214176,58,58
6,704,72,72
7,704,82,82
8,672,91,91
9,672,100,100
10,672,108,108
11,15008,116,116
12,17600,138,138
13,2944,160,160
14,3392,180,180
15,149344,197,197
16,10048,220,220
17,2880,237,237
18,672,252,252
19,864,267,267
20,11936,278,278
21,4320,281,281
22,6880,287,287
23,4576,304,304
24,14624,333,333
25,5376,341,341
26,4576,357,357
27,19040,386,386
28,5824,394,394
29,4256,410,410
30,9920,439,439
31,4096,447,447
32,1376,464,464
33,5856,491,491
34,6464,499,499
35,50944,521,521
36,6304,525,525
37,18048,533,533
38,2080,544,544
39,11737856,548,548
