HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,6688,5,5
1,162432,8,8
2,704,22,22
3,832,36,36
4,704,48,48
5,216256,58,58
6,672,72,72
7,928,82,82
8,672,91,91
9,672,100,100
10,12832,108,108
11,43584,120,120
12,12576,145,145
13,3456,167,167
14,3104,187,187
15,151712,204,204
16,15232,227,227
17,19456,244,244
18,672,259,259
19,672,274,274
20,4704,277,277
21,7296,283,283
22,5888,300,300
23,19872,329,329
24,5280,337,337
25,4640,353,353
26,11328,382,382
27,4736,390,390
28,4768,406,406
29,20224,435,435
30,5024,443,443
31,1888,460,460
32,6176,487,487
33,5824,495,495
34,51616,519,519
35,5696,523,523
36,20416,531,531
37,1792,542,542
38,13339040,546,546
