HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8256,5,5
1,13472,8,8
2,704,22,22
3,672,36,36
4,672,48,48
5,9664,62,62
6,11904,71,71
7,1088,85,85
8,1120,95,95
9,704,104,104
10,672,113,113
11,672,121,121
12,11840,129,129
13,29760,151,151
14,17312,173,173
15,16224,193,193
16,29600,215,215
17,25664,231,231
18,18048,254,254
19,1408,271,271
20,672,286,286
21,672,301,301
22,36256,312,312
23,4032,315,315
24,7072,321,321
25,8704,338,338
26,22880,366,366
27,5568,374,374
28,672,390,390
29,3488,418,418
30,6368,426,426
31,50720,448,448
32,5792,452,452
33,20320,460,460
34,1824,471,471
35,13762816,475,475
