HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8320,5,5
1,149920,8,8
2,672,22,22
3,1440,34,34
4,64992,48,48
5,13536,56,56
6,37472,72,72
7,25120,98,98
8,4704,118,118
9,97568,141,141
10,4416,144,144
11,6464,150,150
12,6976,167,167
13,19104,196,196
14,5152,204,204
15,832,221,221
16,6720,248,248
17,4384,256,256
18,672,272,272
19,6144,299,299
20,4064,307,307
21,4992,324,324
22,30112,353,353
23,6336,361,361
24,55776,385,385
25,5888,389,389
26,22272,397,397
27,704,408,408
28,672,420,420
29,13878016,424,424
