HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8160,5,5
1,11232,8,8
2,704,22,22
3,704,36,36
4,672,48,48
5,9312,58,58
6,672,72,72
7,1024,82,82
8,960,91,91
9,800,100,100
10,736,108,108
11,11392,116,116
12,18880,138,138
13,3744,160,160
14,6528,180,180
15,91744,197,197
16,13024,220,220
17,4864,237,237
18,704,252,252
19,704,267,267
20,21600,278,278
21,3904,281,281
22,7104,287,287
23,7936,304,304
24,29824,333,333
25,5568,341,341
26,7648,357,357
27,29632,386,386
28,5856,394,394
29,52960,416,416
30,5728,420,420
31,20832,428,428
32,1696,439,439
33,13781024,443,443

Range Index,Elapsed Time, First Event,Last Event
0,8224,5,5
1,11360,8,8
2,704,22,22
3,736,36,36
4,960,48,48
5,10432,58,58
6,672,72,72
7,1216,82,82
8,672,91,91
9,704,100,100
10,672,108,108
11,11872,116,116
12,6208,138,138
13,736,160,160
14,800,180,180
15,106560,197,197
16,17504,220,220
17,3616,237,237
18,672,252,252
19,800,267,267
20,19872,278,278
21,3904,281,281
22,7616,287,287
23,7136,304,304
24,30976,333,333
25,5792,341,341
26,7872,357,357
27,31008,386,386
28,5824,394,394
29,52608,416,416
30,5824,420,420
31,30240,428,428
32,1920,448,448
33,13818240,452,452

Range Index,Elapsed Time, First Event,Last Event
0,6912,5,5
1,11328,8,8
2,704,22,22
3,672,36,36
4,832,48,48
5,9952,58,58
6,672,72,72
7,1056,82,82
8,832,91,91
9,672,100,100
10,672,108,108
11,11360,116,116
12,16640,138,138
13,3648,160,160
14,1760,180,180
15,101376,197,197
16,9120,220,220
17,1888,237,237
18,672,252,252
19,672,267,267
20,19200,278,278
21,3968,281,281
22,7296,287,287
23,6656,304,304
24,28736,333,333
25,5536,341,341
26,7328,357,357
27,28512,386,386
28,5824,394,394
29,51392,416,416
30,5920,420,420
31,30432,428,428
32,1920,448,448
33,11785792,452,452

Range Index,Elapsed Time, First Event,Last Event
0,8192,5,5
1,11264,8,8
2,672,22,22
3,704,36,36
4,736,48,48
5,10112,58,58
6,832,72,72
7,1088,82,82
8,672,91,91
9,704,100,100
10,672,108,108
11,11328,116,116
12,14880,138,138
13,2976,160,160
14,896,180,180
15,101152,197,197
16,7072,220,220
17,864,237,237
18,672,252,252
19,704,267,267
20,20480,278,278
21,3968,281,281
22,7424,287,287
23,6688,304,304
24,29024,333,333
25,5344,341,341
26,6944,357,357
27,28384,386,386
28,5824,394,394
29,51424,416,416
30,5824,420,420
31,30272,428,428
32,2336,448,448
33,14040128,452,452
