HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8224,5,5
1,173856,8,8
2,2400,22,22
3,3776,36,36
4,2144,48,48
5,233824,58,58
6,9536,72,72
7,11808,82,82
8,704,91,91
9,672,100,100
10,672,108,108
11,13312,116,116
12,7136,138,138
13,15456,160,160
14,13344,180,180
15,263648,197,197
16,28864,220,220
17,3616,237,237
18,672,252,252
19,672,267,267
20,13824,278,278
21,4384,281,281
22,7520,287,287
23,6048,304,304
24,24032,333,333
25,5952,341,341
26,5184,357,357
27,26944,386,386
28,4224,394,394
29,2464,411,411
30,6016,440,440
31,7296,448,448
32,53440,470,470
33,5824,474,474
34,29024,482,482
35,2432,502,502
36,13009952,506,506
