HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8352,5,5
1,11424,8,8
2,704,22,22
3,672,36,36
4,672,48,48
5,11104,62,62
6,12448,71,71
7,832,85,85
8,1088,95,95
9,704,104,104
10,736,113,113
11,672,121,121
12,11456,129,129
13,16320,151,151
14,2592,173,173
15,2400,193,193
16,182368,215,215
17,141696,231,231
18,12064,254,254
19,7872,271,271
20,704,286,286
21,672,301,301
22,10336,312,312
23,6592,319,319
24,12064,336,336
25,25696,364,364
26,3840,372,372
27,3552,388,388
28,8736,416,416
29,5696,424,424
30,49504,445,445
31,5728,449,449
32,28672,457,457
33,2400,477,477
34,13881216,481,481
