HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8448,5,5
1,152160,8,8
2,672,22,22
3,1120,36,36
4,672,48,48
5,218272,58,58
6,704,72,72
7,672,82,82
8,672,91,91
9,704,100,100
10,672,108,108
11,13152,116,116
12,16992,138,138
13,672,160,160
14,1760,180,180
15,223200,197,197
16,3936,220,220
17,672,237,237
18,768,252,252
19,704,267,267
20,14848,278,278
21,5216,281,281
22,7104,287,287
23,2784,304,304
24,9536,333,333
25,4704,341,341
26,1792,357,357
27,7296,386,386
28,5056,394,394
29,2624,410,410
30,8288,439,439
31,4448,447,447
32,672,464,464
33,5568,491,491
34,5792,499,499
35,52832,523,523
36,5888,527,527
37,30464,535,535
38,1792,555,555
39,13514720,559,559

Range Index,Elapsed Time, First Event,Last Event
0,6720,5,5
1,146528,8,8
2,704,22,22
3,992,36,36
4,768,48,48
5,218848,58,58
6,672,72,72
7,704,82,82
8,672,91,91
9,704,100,100
10,672,108,108
11,13120,116,116
12,15328,138,138
13,704,160,160
14,704,180,180
15,221280,197,197
16,3648,220,220
17,928,237,237
18,704,252,252
19,704,267,267
20,14048,278,278
21,5120,281,281
22,7232,287,287
23,2784,304,304
24,9280,333,333
25,4704,341,341
26,2304,357,357
27,7264,386,386
28,4544,394,394
29,2464,410,410
30,8096,439,439
31,4288,447,447
32,672,464,464
33,5696,491,491
34,5760,499,499
35,53216,523,523
36,5792,527,527
37,20416,535,535
38,1664,546,546
39,13880992,550,550
