HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8288,5,5
1,152608,8,8
2,672,22,22
3,1024,34,34
4,800,45,45
5,60832,59,59
6,13920,67,67
7,34848,83,83
8,26144,109,109
9,6784,129,129
10,672,148,148
11,108960,171,171
12,4256,174,174
13,6848,180,180
14,5792,197,197
15,19520,226,226
16,4960,234,234
17,960,251,251
18,6880,278,278
19,4160,286,286
20,864,302,302
21,6240,329,329
22,4000,337,337
23,672,354,354
24,7200,383,383
25,3904,391,391
26,2464,407,407
27,19328,436,436
28,5984,444,444
29,54048,468,468
30,5728,472,472
31,21824,480,480
32,704,491,491
33,672,503,503
34,13935424,507,507
