HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,7488,5,5
1,157120,8,8
2,704,22,22
3,704,36,36
4,704,48,48
5,218400,58,58
6,704,72,72
7,672,82,82
8,672,91,91
9,672,100,100
10,12064,108,108
11,46880,120,120
12,1280,145,145
13,9888,167,167
14,2528,187,187
15,200544,204,204
16,7232,227,227
17,2784,244,244
18,672,259,259
19,704,274,274
20,4640,277,277
21,6816,283,283
22,3648,300,300
23,9728,329,329
24,4704,337,337
25,1312,353,353
26,8352,382,382
27,4640,390,390
28,1696,406,406
29,8992,435,435
30,4160,443,443
31,704,460,460
32,5728,487,487
33,5792,495,495
34,51328,519,519
35,5888,523,523
36,20576,531,531
37,2016,542,542
38,13175520,546,546
