HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8384,5,5
1,950912,8,8
2,2208,22,22
3,704,34,34
4,672,45,45
5,704,56,56
6,1440,67,67
7,628832,81,81
8,12512,89,89
9,34432,105,105
10,20320,130,130
11,16160,149,149
12,5792,167,167
13,3232,185,185
14,704,203,203
15,107680,225,225
16,3936,228,228
17,6816,234,234
18,6272,251,251
19,19424,280,280
20,5216,288,288
21,736,305,305
22,6752,332,332
23,4512,340,340
24,800,356,356
25,6336,383,383
26,3872,391,391
27,704,408,408
28,7232,437,437
29,3904,445,445
30,2368,461,461
31,18368,490,490
32,5888,498,498
33,53184,522,522
34,5888,526,526
35,19296,534,534
36,704,545,545
37,672,557,557
38,11961760,561,561
