HUD frame time nsec:,16671000

Range Index,Elapsed Time, First Event,Last Event
0,7136,5,5
1,156192,8,8
2,672,22,22
3,672,36,36
4,672,48,48
5,214112,58,58
6,832,72,72
7,672,82,82
8,704,91,91
9,672,100,100
10,672,108,108
11,12608,116,116
12,20992,138,138
13,704,160,160
14,6176,180,180
15,248320,197,197
16,4224,220,220
17,768,237,237
18,672,252,252
19,672,267,267
20,12704,278,278
21,3936,281,281
22,7584,287,287
23,2560,304,304
24,10464,333,333
25,4928,341,341
26,2272,357,357
27,8864,386,386
28,4864,394,394
29,2176,410,410
30,9440,439,439
31,4960,447,447
32,672,464,464
33,5632,491,491
34,6784,499,499
35,52352,523,523
36,5856,527,527
37,19936,535,535
38,1664,546,546
39,13345440,550,550
