HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8320,5,5
1,13472,8,8
2,672,22,22
3,672,36,36
4,832,48,48
5,10496,62,62
6,12160,71,71
7,832,85,85
8,1152,95,95
9,704,104,104
10,736,113,113
11,672,121,121
12,11808,129,129
13,16000,151,151
14,2720,173,173
15,672,193,193
16,184384,215,215
17,141856,231,231
18,7104,254,254
19,3584,271,271
20,672,286,286
21,672,301,301
22,10848,312,312
23,6720,319,319
24,8864,330,330
25,7520,348,348
26,672,356,356
27,3552,366,366
28,4000,384,384
29,4416,392,392
30,46848,413,413
31,5728,417,417
32,18432,425,425
33,1952,436,436
34,13356000,440,440
