HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8224,5,5
1,10944,8,8
2,768,22,22
3,672,36,36
4,704,48,48
5,10080,62,62
6,12064,71,71
7,928,85,85
8,960,95,95
9,672,104,104
10,672,113,113
11,672,121,121
12,11552,129,129
13,15552,151,151
14,2496,173,173
15,704,193,193
16,187456,215,215
17,146144,231,231
18,8096,254,254
19,5824,271,271
20,672,286,286
21,672,301,301
22,11264,312,312
23,6656,319,319
24,9216,336,336
25,12960,357,357
26,4128,365,365
27,2912,381,381
28,5984,402,402
29,5632,410,410
30,50752,431,431
31,5792,435,435
32,18368,443,443
33,2112,454,454
34,14245952,458,458

Range Index,Elapsed Time, First Event,Last Event
0,8384,5,5
1,10976,8,8
2,736,22,22
3,672,36,36
4,800,48,48
5,11552,62,62
6,12416,71,71
7,704,85,85
8,1184,95,95
9,704,104,104
10,704,113,113
11,704,121,121
12,11392,129,129
13,15488,151,151
14,5248,173,173
15,4000,193,193
16,205248,215,215
17,156224,231,231
18,17216,254,254
19,2944,271,271
20,704,286,286
21,672,301,301
22,2976,312,312
23,7520,319,319
24,12064,336,336
25,15744,357,357
26,4832,365,365
27,6080,381,381
28,8576,402,402
29,5696,410,410
30,51648,431,431
31,5856,435,435
32,18656,443,443
33,1888,454,454
34,14656672,458,458

Range Index,Elapsed Time, First Event,Last Event
0,8416,5,5
1,10944,8,8
2,704,22,22
3,672,36,36
4,928,48,48
5,10944,62,62
6,12256,71,71
7,672,85,85
8,928,95,95
9,704,104,104
10,672,112,112
11,11392,120,120
12,17024,142,142
13,3136,164,164
14,2016,184,184
15,195136,206,206
16,141984,222,222
17,7360,245,245
18,672,262,262
19,704,277,277
20,3232,288,288
21,6624,295,295
22,12480,312,312
23,17120,333,333
24,5376,341,341
25,5760,357,357
26,10912,378,378
27,5632,386,386
28,52576,407,407
29,5856,411,411
30,21120,419,419
31,1504,430,430
32,14029888,434,434

Range Index,Elapsed Time, First Event,Last Event
0,8224,5,5
1,10912,8,8
2,1312,22,22
3,864,36,36
4,736,48,48
5,9216,62,62
6,11840,71,71
7,672,85,85
8,672,93,93
9,11264,101,101
10,18464,123,123
11,8576,145,145
12,672,165,165
13,170208,187,187
14,117504,203,203
15,672,226,226
16,4320,237,237
17,6208,244,244
18,6880,261,261
19,12032,282,282
20,4224,290,290
21,8000,306,306
22,12032,327,327
23,5696,335,335
24,51808,356,356
25,5792,360,360
26,19808,368,368
27,1984,379,379
28,14131168,383,383
