HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8096,5,5
1,162304,8,8
2,672,22,22
3,832,36,36
4,672,48,48
5,218944,58,58
6,704,72,72
7,672,82,82
8,672,91,91
9,704,100,100
10,672,108,108
11,12672,116,116
12,15584,138,138
13,3840,160,160
14,6048,180,180
15,163232,197,197
16,8544,220,220
17,8736,237,237
18,2656,252,252
19,2336,267,267
20,13888,278,278
21,5120,281,281
22,7648,287,287
23,5248,304,304
24,23872,333,333
25,5472,341,341
26,5472,357,357
27,16096,386,386
28,5856,394,394
29,5824,410,410
30,27360,439,439
31,4768,447,447
32,1376,464,464
33,6592,491,491
34,5824,499,499
35,54048,523,523
36,5728,527,527
37,20608,535,535
38,1760,546,546
39,13466208,550,550
