HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,6464,5,5
1,11008,8,8
2,704,22,22
3,736,36,36
4,704,48,48
5,10400,62,62
6,13184,71,71
7,704,85,85
8,736,95,95
9,704,104,104
10,672,113,113
11,704,121,121
12,11360,129,129
13,15712,151,151
14,672,173,173
15,1120,193,193
16,188000,215,215
17,138176,231,231
18,9408,254,254
19,5472,271,271
20,672,286,286
21,704,301,301
22,7872,312,312
23,6496,319,319
24,8416,336,336
25,11552,357,357
26,4032,365,365
27,3520,381,381
28,6208,402,402
29,5664,410,410
30,51456,431,431
31,5824,435,435
32,18880,443,443
33,2144,454,454
34,14210784,458,458
