HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8256,5,5
1,11136,8,8
2,14016,22,22
3,12928,31,31
4,672,45,45
5,1056,55,55
6,704,64,64
7,672,73,73
8,672,81,81
9,9824,89,89
10,141472,111,111
11,102464,128,128
12,10464,151,151
13,8128,169,169
14,2720,185,185
15,1920,201,201
16,20512,212,212
17,7520,219,219
18,7936,230,230
19,5312,248,248
20,672,256,256
21,704,266,266
22,672,284,284
23,4480,292,292
24,37568,313,313
25,5664,317,317
26,17152,325,325
27,1824,336,336
28,14432192,340,340
