HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8320,5,5
1,11520,8,8
2,672,22,22
3,672,36,36
4,1024,48,48
5,10784,58,58
6,2080,71,71
7,1376,85,85
8,1120,95,95
9,672,104,104
10,672,112,112
11,11520,120,120
12,15328,142,142
13,3840,164,164
14,5920,184,184
15,131136,201,201
16,672,222,222
17,19328,245,245
18,704,262,262
19,672,277,277
20,9984,288,288
21,6816,295,295
22,7360,312,312
23,26368,340,340
24,4320,348,348
25,4736,364,364
26,11168,392,392
27,5728,400,400
28,51136,421,421
29,5728,425,425
30,18688,433,433
31,2208,444,444
32,14192224,448,448
