HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8320,5,5
1,11584,8,8
2,768,22,22
3,736,36,36
4,1056,48,48
5,10944,62,62
6,12064,71,71
7,896,79,79
8,10080,87,87
9,21280,109,109
10,44768,131,131
11,672,151,151
12,129792,173,173
13,103200,189,189
14,11456,200,200
15,6752,207,207
16,8320,218,218
17,13728,236,236
18,672,244,244
19,672,254,254
20,1536,272,272
21,4544,280,280
22,38208,301,301
23,5824,305,305
24,16832,313,313
25,1760,324,324
26,13467776,328,328

Range Index,Elapsed Time, First Event,Last Event
0,7584,5,5
1,11744,8,8
2,800,22,22
3,672,36,36
4,832,48,48
5,11040,62,62
6,12096,71,71
7,672,79,79
8,9888,87,87
9,22048,109,109
10,42336,131,131
11,672,151,151
12,142432,173,173
13,114752,189,189
14,8544,200,200
15,6688,207,207
16,7840,218,218
17,14272,236,236
18,704,244,244
19,672,254,254
20,1280,272,272
21,4448,280,280
22,38432,301,301
23,5952,305,305
24,26624,313,313
25,1664,333,333
26,12858080,337,337
