HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,6784,5,5
1,11008,8,8
2,704,22,22
3,672,36,36
4,672,48,48
5,11520,62,62
6,12608,71,71
7,832,85,85
8,1088,95,95
9,672,104,104
10,704,112,112
11,11808,120,120
12,5728,142,142
13,800,164,164
14,12736,184,184
15,121120,206,206
16,98912,222,222
17,2432,245,245
18,26976,262,262
19,4576,277,277
20,17504,288,288
21,6656,295,295
22,7232,312,312
23,12384,333,333
24,5824,341,341
25,51232,362,362
26,5952,366,366
27,27488,374,374
28,2048,394,394
29,13192928,398,398
