HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,6816,5,5
1,145088,8,8
2,672,22,22
3,672,34,34
4,1024,45,45
5,672,56,56
6,165568,66,66
7,13088,74,74
8,34752,90,90
9,22464,115,115
10,1408,135,135
11,1856,153,153
12,1184,171,171
13,82752,188,188
14,4768,191,191
15,6688,197,197
16,6240,214,214
17,18176,243,243
18,5504,251,251
19,800,268,268
20,6496,295,295
21,4640,303,303
22,1024,319,319
23,6144,346,346
24,3968,354,354
25,672,371,371
26,7136,400,400
27,4864,408,408
28,1632,424,424
29,16832,453,453
30,6208,461,461
31,51424,485,485
32,5760,489,489
33,20448,497,497
34,2016,508,508
35,13670240,512,512
