HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8256,5,5
1,162624,8,8
2,672,22,22
3,768,36,36
4,800,48,48
5,212288,58,58
6,672,72,72
7,704,82,82
8,672,91,91
9,672,100,100
10,672,108,108
11,13440,116,116
12,26528,138,138
13,9248,160,160
14,11232,180,180
15,106816,197,197
16,12864,220,220
17,4288,237,237
18,672,252,252
19,704,267,267
20,17888,278,278
21,3936,281,281
22,7488,287,287
23,5568,304,304
24,28576,333,333
25,6080,341,341
26,4512,357,357
27,27392,386,386
28,5792,394,394
29,5760,410,410
30,20800,439,439
31,5344,447,447
32,1664,464,464
33,6304,491,491
34,6112,499,499
35,53728,521,521
36,5760,525,525
37,19776,533,533
38,2400,544,544
39,12992768,548,548

Range Index,Elapsed Time, First Event,Last Event
0,8128,5,5
1,165824,8,8
2,672,22,22
3,1024,36,36
4,672,48,48
5,215168,58,58
6,704,72,72
7,736,82,82
8,672,91,91
9,768,100,100
10,672,108,108
11,14112,116,116
12,19136,138,138
13,6560,160,160
14,3904,180,180
15,108480,197,197
16,8960,220,220
17,2336,237,237
18,704,252,252
19,672,267,267
20,18400,278,278
21,4768,281,281
22,7616,287,287
23,5664,304,304
24,25504,333,333
25,5440,341,341
26,5408,357,357
27,25856,386,386
28,6016,394,394
29,5376,410,410
30,16128,439,439
31,4768,447,447
32,1920,464,464
33,6208,491,491
34,6144,499,499
35,52704,521,521
36,5760,525,525
37,19552,533,533
38,2432,544,544
39,11022208,548,548

Range Index,Elapsed Time, First Event,Last Event
0,8128,5,5
1,166912,8,8
2,672,22,22
3,1376,36,36
4,216544,46,46
5,672,54,54
6,14272,62,62
7,144576,84,84
8,704,106,106
9,65952,123,123
10,7936,134,134
11,3968,137,137
12,7264,143,143
13,4992,160,160
14,48768,189,189
15,6784,197,197
16,6400,213,213
17,52352,242,242
18,7072,250,250
19,6016,266,266
20,43008,295,295
21,6144,303,303
22,704,320,320
23,4352,347,347
24,6368,355,355
25,60608,377,377
26,5728,381,381
27,20704,389,389
28,2208,400,400
29,13051904,404,404
