HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8288,5,5
1,10912,8,8
2,704,22,22
3,672,36,36
4,672,48,48
5,10112,62,62
6,12128,71,71
7,736,85,85
8,1120,95,95
9,704,104,104
10,704,113,113
11,704,121,121
12,11328,129,129
13,16288,151,151
14,2880,173,173
15,4160,193,193
16,172224,215,215
17,134912,231,231
18,13472,254,254
19,17696,271,271
20,672,286,286
21,672,301,301
22,13536,312,312
23,6976,319,319
24,7616,336,336
25,12160,357,357
26,4000,365,365
27,2368,381,381
28,5408,402,402
29,5696,410,410
30,50464,431,431
31,5792,435,435
32,18496,443,443
33,1920,454,454
34,14492384,458,458
