HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8192,5,5
1,161632,8,8
2,704,22,22
3,1056,36,36
4,1248,48,48
5,53440,60,60
6,13312,68,68
7,34464,84,84
8,10496,110,110
9,11136,133,133
10,4576,153,153
11,95936,175,175
12,4896,178,178
13,7968,184,184
14,3584,201,201
15,12192,230,230
16,4768,238,238
17,672,255,255
18,6720,283,283
19,3872,291,291
20,704,307,307
21,5888,335,335
22,3904,343,343
23,4448,360,360
24,9600,389,389
25,4096,397,397
26,2176,413,413
27,6656,442,442
28,5888,450,450
29,53152,474,474
30,5760,478,478
31,21792,486,486
32,672,501,501
33,704,522,522
34,13777280,526,526
