HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8320,5,5
1,11040,8,8
2,832,22,22
3,672,36,36
4,704,48,48
5,11520,62,62
6,12608,71,71
7,2400,85,85
8,2176,95,95
9,672,104,104
10,672,113,113
11,672,121,121
12,11488,129,129
13,16256,151,151
14,2976,173,173
15,1824,193,193
16,150048,215,215
17,121120,231,231
18,17952,254,254
19,13664,271,271
20,832,286,286
21,1280,301,301
22,16608,312,312
23,7136,321,321
24,9760,338,338
25,13472,353,353
26,736,361,361
27,3456,377,377
28,3456,392,392
29,5632,400,400
30,49952,421,421
31,5888,425,425
32,18560,433,433
33,1888,444,444
34,14170944,448,448
