HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8384,5,5
1,11136,8,8
2,672,22,22
3,1088,36,36
4,13216,46,46
5,672,60,60
6,672,68,68
7,11488,76,76
8,5984,98,98
9,672,120,120
10,167904,137,137
11,27392,160,160
12,5664,171,171
13,3968,174,174
14,6784,180,180
15,9088,197,197
16,45984,226,226
17,5024,234,234
18,7968,250,250
19,40960,279,279
20,3840,287,287
21,8192,303,303
22,41312,332,332
23,5920,340,340
24,56192,362,362
25,5792,366,366
26,28576,374,374
27,1792,394,394
28,13538688,398,398
