HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8288,5,5
1,141152,8,8
2,672,22,22
3,672,34,34
4,800,45,45
5,800,56,56
6,163872,66,66
7,12384,74,74
8,35488,90,90
9,21856,115,115
10,704,135,135
11,1152,153,153
12,4864,171,171
13,83680,188,188
14,4736,191,191
15,6432,197,197
16,6304,214,214
17,18176,243,243
18,5536,251,251
19,1184,268,268
20,6848,295,295
21,5088,303,303
22,672,319,319
23,6144,346,346
24,4512,354,354
25,672,371,371
26,7232,400,400
27,3872,408,408
28,2400,424,424
29,16640,453,453
30,6240,461,461
31,50624,485,485
32,5920,489,489
33,19872,497,497
34,2336,508,508
35,13926016,512,512
