HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,6784,5,5
1,11200,8,8
2,672,22,22
3,672,36,36
4,832,48,48
5,11392,62,62
6,12832,71,71
7,800,85,85
8,1120,95,95
9,672,104,104
10,672,112,112
11,11584,120,120
12,13696,142,142
13,2784,164,164
14,9568,184,184
15,125376,206,206
16,101984,222,222
17,672,245,245
18,672,262,262
19,2112,277,277
20,17888,288,288
21,7296,295,295
22,7552,312,312
23,15808,333,333
24,5440,341,341
25,704,357,357
26,4512,378,378
27,5696,386,386
28,51392,407,407
29,5984,411,411
30,28448,419,419
31,1696,439,439
32,13819072,443,443
