HUD frame time nsec:,16656000

Range Index,Elapsed Time, First Event,Last Event
0,8352,5,5
1,157248,8,8
2,704,22,22
3,800,36,36
4,672,48,48
5,214176,58,58
6,704,72,72
7,672,82,82
8,672,91,91
9,704,100,100
10,672,108,108
11,13088,116,116
12,20352,138,138
13,704,160,160
14,5472,180,180
15,172576,197,197
16,11904,220,220
17,2848,237,237
18,704,252,252
19,704,267,267
20,14976,278,278
21,5536,281,281
22,7392,287,287
23,4800,304,304
24,12416,333,333
25,4864,341,341
26,4064,357,357
27,9408,386,386
28,4320,394,394
29,1088,411,411
30,6240,438,438
31,6112,446,446
32,51712,468,468
33,5824,472,472
34,18080,480,480
35,2592,491,491
36,13715520,495,495
