HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8160,5,5
1,11296,8,8
2,14048,22,22
3,12032,31,31
4,960,45,45
5,1088,55,55
6,704,64,64
7,704,73,73
8,704,81,81
9,9760,89,89
10,163936,111,111
11,117664,128,128
12,11136,151,151
13,10976,169,169
14,3200,185,185
15,1600,201,201
16,17408,212,212
17,7232,219,219
18,6400,230,230
19,5568,248,248
20,672,256,256
21,672,266,266
22,1312,284,284
23,4544,292,292
24,38464,313,313
25,5728,317,317
26,17632,325,325
27,2016,336,336
28,14566400,340,340
