HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,6464,5,5
1,11616,8,8
2,672,22,22
3,704,36,36
4,800,48,48
5,10816,62,62
6,12032,71,71
7,768,85,85
8,1056,95,95
9,672,104,104
10,672,113,113
11,640,121,121
12,11520,129,129
13,6976,145,145
14,672,161,161
15,704,176,176
16,155456,198,198
17,46016,210,210
18,2432,227,227
19,4032,240,240
20,1088,251,251
21,704,262,262
22,10976,273,273
23,7232,280,280
24,6752,291,291
25,6976,309,309
26,704,317,317
27,928,327,327
28,2336,345,345
29,4416,353,353
30,42848,374,374
31,5888,378,378
32,15776,386,386
33,1952,397,397
34,13999136,401,401
