HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8160,5,5
1,12672,8,8
2,672,22,22
3,704,36,36
4,1024,48,48
5,11584,62,62
6,13184,71,71
7,896,85,85
8,896,95,95
9,704,104,104
10,672,112,112
11,11968,120,120
12,6336,142,142
13,800,164,164
14,768,184,184
15,119648,206,206
16,81376,222,222
17,704,245,245
18,704,262,262
19,704,277,277
20,18272,288,288
21,7488,295,295
22,3776,306,306
23,3680,324,324
24,672,332,332
25,3904,342,342
26,4000,360,360
27,4384,368,368
28,47456,389,389
29,5760,393,393
30,26976,401,401
31,2080,421,421
32,13712416,425,425
