HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8256,5,5
1,12576,8,8
2,800,22,22
3,864,36,36
4,672,48,48
5,10272,58,58
6,1696,71,71
7,1440,85,85
8,1056,95,95
9,672,104,104
10,704,113,113
11,672,121,121
12,15104,129,129
13,15136,151,151
14,3360,173,173
15,4864,193,193
16,113696,210,210
17,736,231,231
18,13056,254,254
19,7648,271,271
20,1728,286,286
21,1664,301,301
22,24704,312,312
23,7072,319,319
24,8960,330,330
25,9952,348,348
26,800,356,356
27,672,366,366
28,704,384,384
29,4384,392,392
30,62272,413,413
31,5792,417,417
32,26656,425,425
33,2304,445,445
34,14165088,449,449
