HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8096,5,5
1,152256,8,8
2,672,22,22
3,672,34,34
4,672,45,45
5,960,56,56
6,164000,66,66
7,13120,74,74
8,35232,90,90
9,21184,115,115
10,704,135,135
11,800,153,153
12,6016,171,171
13,83104,188,188
14,4352,191,191
15,6688,197,197
16,6176,214,214
17,17952,243,243
18,5408,251,251
19,1088,268,268
20,6752,295,295
21,4320,303,303
22,672,319,319
23,6272,346,346
24,3936,354,354
25,704,371,371
26,7232,400,400
27,4416,408,408
28,2208,424,424
29,16864,453,453
30,6784,461,461
31,50976,485,485
32,5760,489,489
33,20544,497,497
34,2336,508,508
35,13473696,512,512
