HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8160,5,5
1,165056,8,8
2,736,22,22
3,704,36,36
4,672,48,48
5,213504,58,58
6,704,72,72
7,768,82,82
8,672,91,91
9,704,100,100
10,13216,108,108
11,42976,120,120
12,14144,145,145
13,672,167,167
14,3648,187,187
15,104896,204,204
16,5760,227,227
17,6208,244,244
18,2208,259,259
19,992,274,274
20,4320,277,277
21,7232,283,283
22,5888,300,300
23,12288,329,329
24,5120,337,337
25,4000,353,353
26,8576,382,382
27,4512,390,390
28,4576,406,406
29,18368,435,435
30,5024,443,443
31,1024,460,460
32,5920,487,487
33,6144,495,495
34,50688,519,519
35,5728,523,523
36,19904,531,531
37,1632,542,542
38,13118528,546,546
