HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,7264,5,5
1,10848,8,8
2,704,22,22
3,672,36,36
4,992,48,48
5,11008,58,58
6,992,72,72
7,1088,82,82
8,704,91,91
9,704,100,100
10,672,108,108
11,11328,116,116
12,17760,138,138
13,672,160,160
14,5280,180,180
15,90432,197,197
16,10432,220,220
17,7072,237,237
18,992,252,252
19,1024,267,267
20,26336,278,278
21,3936,281,281
22,6656,287,287
23,8512,304,304
24,29472,333,333
25,5856,341,341
26,11008,357,357
27,22336,386,386
28,5504,394,394
29,8416,410,410
30,15936,439,439
31,5920,447,447
32,54144,469,469
33,6144,473,473
34,20576,481,481
35,1856,492,492
36,13341408,496,496
