HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,8192,5,5
1,175936,8,8
2,1280,22,22
3,3744,36,36
4,2400,48,48
5,218656,58,58
6,9824,72,72
7,12000,82,82
8,1664,91,91
9,2272,100,100
10,672,108,108
11,13664,116,116
12,19776,138,138
13,4736,160,160
14,2752,180,180
15,267328,197,197
16,6976,220,220
17,8256,237,237
18,672,252,252
19,704,267,267
20,9312,278,278
21,4736,281,281
22,7360,287,287
23,6560,304,304
24,37728,333,333
25,5760,341,341
26,4608,357,357
27,14816,386,386
28,5824,394,394
29,4864,410,410
30,11456,439,439
31,4544,447,447
32,1216,464,464
33,6720,493,493
34,6816,501,501
35,53312,523,523
36,5824,527,527
37,28288,535,535
38,2656,555,555
39,13517248,559,559

Range Index,Elapsed Time, First Event,Last Event
0,8160,5,5
1,170336,8,8
2,736,22,22
3,3616,36,36
4,2400,48,48
5,219520,58,58
6,3488,72,72
7,11968,82,82
8,2112,91,91
9,1536,100,100
10,672,108,108
11,12928,116,116
12,18592,138,138
13,3744,160,160
14,3040,180,180
15,262592,197,197
16,8416,220,220
17,8736,237,237
18,672,252,252
19,1472,267,267
20,9696,278,278
21,3936,281,281
22,7296,287,287
23,5984,304,304
24,36384,333,333
25,5632,341,341
26,4864,357,357
27,14560,386,386
28,5408,394,394
29,4096,410,410
30,11552,439,439
31,4384,447,447
32,1248,464,464
33,6816,493,493
34,7296,501,501
35,52544,523,523
36,5760,527,527
37,28384,535,535
38,2624,555,555
39,13017888,559,559

Range Index,Elapsed Time, First Event,Last Event
0,6848,5,5
1,174304,8,8
2,704,22,22
3,2944,36,36
4,2816,48,48
5,224256,58,58
6,10240,72,72
7,11968,82,82
8,2208,91,91
9,1568,100,100
10,672,108,108
11,13504,116,116
12,17664,138,138
13,5152,160,160
14,3392,180,180
15,265504,197,197
16,15552,220,220
17,3552,237,237
18,1632,252,252
19,672,267,267
20,7712,278,278
21,4288,281,281
22,7328,287,287
23,6240,304,304
24,36416,333,333
25,4512,341,341
26,5408,357,357
27,15200,386,386
28,5088,394,394
29,4512,410,410
30,11776,439,439
31,4064,447,447
32,1696,464,464
33,6816,493,493
34,7264,501,501
35,52672,523,523
36,5792,527,527
37,18368,535,535
38,2560,546,546
39,13268128,550,550

Range Index,Elapsed Time, First Event,Last Event
0,8320,5,5
1,174368,8,8
2,672,22,22
3,3680,36,36
4,3200,48,48
5,222368,58,58
6,9152,72,72
7,11840,82,82
8,1824,91,91
9,2080,100,100
10,672,108,108
11,13536,116,116
12,20032,138,138
13,2912,160,160
14,3552,180,180
15,244832,197,197
16,12384,220,220
17,8160,237,237
18,960,252,252
19,1856,267,267
20,11712,278,278
21,4000,281,281
22,7232,287,287
23,6208,304,304
24,33856,333,333
25,4864,341,341
26,5472,357,357
27,14752,386,386
28,5504,394,394
29,4704,410,410
30,11264,439,439
31,4800,447,447
32,1120,464,464
33,6912,493,493
34,7232,501,501
35,52480,523,523
36,6176,527,527
37,18048,535,535
38,2144,546,546
39,12360960,550,550

Range Index,Elapsed Time, First Event,Last Event
0,6752,5,5
1,173024,8,8
2,3680,22,22
3,3456,36,36
4,3616,48,48
5,220160,58,58
6,4896,72,72
7,11168,82,82
8,2304,91,91
9,1856,100,100
10,672,108,108
11,13696,116,116
12,22432,138,138
13,4928,160,160
14,6112,180,180
15,284256,197,197
16,9728,220,220
17,6784,237,237
18,992,252,252
19,672,267,267
20,6592,278,278
21,4384,281,281
22,7104,287,287
23,6304,304,304
24,38048,333,333
25,5088,341,341
26,4480,357,357
27,14816,386,386
28,5408,394,394
29,5600,410,410
30,13024,439,439
31,4192,447,447
32,1248,464,464
33,6624,493,493
34,6912,501,501
35,52928,523,523
36,5824,527,527
37,28192,535,535
38,2176,555,555
39,13628448,559,559
